HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,12.771988546014077
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,12.294925658999173
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,135,11.048203861234047
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,12.756797598291467
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.640607763301093
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1288,12.132641367444291
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,12.472509375472486
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,12.318923538140995
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,12.720431021771319
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,11.30731481019832
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,12.420324785138387
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,12.005888498350874
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,12.306994324111145
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,12.54758572714582
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,11.198324303167183
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,12.257806093036127
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,12.32679801494068
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,12.083854162805563
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,12.376524029753641
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,12.948850113447694
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,12.123071399026768
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,12.383959383034016
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,644,12.581593877265266
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,12.2241384713418
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,12.643469143597118
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,12.54985027552354
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,12.831724939206643
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,12.522108911478483
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,11.36024037730458
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1288,12.472509375472486
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,12.58462893708112
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,12.56008655204726
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,12.032558192096367
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1796,12.383959383034016
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,12.302986084881335
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,451,11.096333684390315
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,12.728336601436993
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,12.223612911694648
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,11.85443499310871
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,12.921101173702333
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,1448,12.021975513334768
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,12.794348079853945
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,12.132641367444291
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,11.08959165831958
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,12.3384946730367
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,12.699038732975398
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,12.302586645906212
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,11.989538454196522
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,779,11.78948086495026
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,11.915432870050607
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,910,11.458363676977546
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,11.96732041003281
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,12.365266302432104
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,12.127867831228782
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,11.683376849193696
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,12.083854162805563
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,11.86070496147059
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,12.255700553931991
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,11.318126386665162
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,12.730957966906306
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,644,12.522108911478483
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,12.764421917487008
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,12.310986561477193
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,12.563187492697292
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,12.000468132113847
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,11.828961730918538
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,11.573022889018809
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1444,12.596677890731314
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,13.05841348299205
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,12.479266519061989
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,12.581896081296495
terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015,7,644,12.55072561424158
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,12.132641367444291
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,11.762266836943965
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,12.043030049531263
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,11.390701332224854
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,11.69081220247407
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,11.989538454196522
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,846,12.646322359751103
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,12.677178791780616
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,12.469113604065504
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,11.68709723562373
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,156,10.99022966863375
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,12.56008655204726
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,11.082819242945613
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,12.298966271455122
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,12.24512026678084
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,13.174097774491777
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,12.4023053257368
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,11.653069942864997
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,12.76947269268739
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,11.581322158778578
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,11.53046081805929
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,644,12.58462893708112
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,12.48931738757702
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,12.725708346346588
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.78942449114218
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,12.398662139500745
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,11.597716879665969
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,12.098743526777502
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,12.479605082377512
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,12.677178791780616
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,12.409552119949653
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,644,12.455417914065778
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,11.109667918404064
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,11.97849427492585
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,11.444239689181709
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,11.78948086495026
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,12.629079657489251
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,12.684063045442562
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,12.448497119448882
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,12.355406026497148
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,11.873128179004302
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,11.339405064129343
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,12.725708346346588
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,12.005888498350874
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,11.86070496147059
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,12.210482906018722
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,910,11.961686305384813
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,11.769140089875304
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,12.420324785138387
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,12.192708745072041
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,12.469113604065504
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.210482906018722
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,13.125895133405507
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,12.553855673297253
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,12.156173116242744
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1448,12.688443237675644
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,12.027280851786465
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,11.390701332224854
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,12.690897150985462
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,12.614480087392462
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,11.857578433681635
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,12.179163828972955
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,12.098743526777502
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,12.398662139500745
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,12.000468132113847
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.434510159065493
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,11.390701332224854
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,12.825791238487056
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,13.28080199373495
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,12.420324785138387
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,12.936139817689064
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,12.125475200685088
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.541279796553658
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,13.077106563593961
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,12.531740293666903
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,12.08134807305674
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,12.253595340132641
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,12.346217123424942
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,11.873128179004302
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,12.3384946730367
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,11.301871044753339
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,12.894785006800006
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,156,11.034018316772512
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,12.2365727521785
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,12.242992637129118
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,10.592199913805961
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,12.78942449114218
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,12.048225140858627
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,12.629079657489251
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,12.278597937334398
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,11.930114907014943
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,156,10.97519102464702
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,11.204251258039026
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.398662139500745
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,12.430982635772097
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,914,11.645347492476754
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,12.266174777931607
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,11.97292294930522
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,12.58462893708112
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.32679801494068
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,11.90949781613008
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,11.653069942864997
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,857,12.48931738757702
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,12.445018677347818
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,12.841148348475457
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,12.799250308410048
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,11.683376849193696
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,12.749114701955978
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,12.132641367444291
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,910,12.132641367444291
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,12.05853505097316
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,13.039364303984888
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,11.897520976773169
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,11.915432870050607
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,12.05853505097316
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,12.434510159065493
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,12.346217123424942
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,11.915432870050607
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.512383862899288
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,12.445018677347818
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,11.22818572627257
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,12.204255996421951
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,12.862031845535341
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,12.137392225225268
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,12.4023053257368
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,11.8094161276284
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,12.257806093036127
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,12.671641455485796
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,135,10.904560512024897
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,13.05841348299205
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,12.294925658999173
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,11.921332906832516
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,11.899146589711632
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,11.109667918404064
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,11.96732041003281
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,12.372785518140974
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,12.397824596053216
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,12.59966758106785
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,1035,13.00014376467812
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,12.32679801494068
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,12.346217123424942
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,12.151510857537492
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,12.634860322456136
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1288,12.465710118756174
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,910,11.439494186884346
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,12.596677890731314
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,12.408650158223917
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.682688739165505
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,12.08634835185111
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,13.157149271267498
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,10.4744106003507
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,12.566278847232724
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,11.410505067370758
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,12.818622381245033
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,11.86070496147059
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,11.727173568846068
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,12.604133744820508
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,2003,5,907,11.727173568846068
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,12.578549577811357
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,12.286795122108467
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,11.815973868302475
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,12.54758572714582
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,1291,13.047027574852198
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,12.395005631911781
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,10.396444477759635
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,12.438025282665697
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,11.08959165831958
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.156173116242744
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,12.528540128938916
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,12.427442624995232
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,12.200301021706924
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,11.906520400507905
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,11.148635888880573
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,12.87003557869415
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,11.995018225313283
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.649167458218692
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,12.66885967262911
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,11.755346015266177
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,12.801692440099783
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,11.90949781613008
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,857,12.438025282665697
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,12.223612911694648
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,12.566278847232724
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,11.103015493074828
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,11.796170207017076
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,11.91584734180561
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,12.760770646664499
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,12.699038732975398
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,11.97849427492585
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,12.336556900342153
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,11.927198337259366
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,12.512383862899288
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,12.334610968503377
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,12.032558192096367
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,13.179127380141109
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,12.643469143597118
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,12.132641367444291
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,857,12.409552119949653
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,12.751682231533106
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1629,12.977899297286601
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,12.764421917487008
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,12.240855641952603
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,11.913538822347368
